code,ym,T,Y,propensity_oof,in_common_support
4891132530116,202501,0,0.0,0.02,1
4891132530116,202502,0,0.0,0.02,1
4891132530116,202503,0,0.0,0.02,1
4891132530116,202504,0,0.0,0.02,1
4891132530116,202505,0,0.0,0.02,1
4891132530116,202506,0,0.0,0.02,1
4891132530116,202507,0,0.0,0.02,1
4891132530116,202508,0,-3.521215136299759,0.02,1
4891132530116,202509,0,3.521215136299759,0.02,1
4891132530116,202510,0,8.414324205953541,0.02,1
4891132530116,202512,1,14.896206608613756,0.4408584562185042,1
4891132530116,202601,0,0.0,0.02,1
4891132530116,202602,0,0.0,0.02,1
4891132530116,202603,0,0.0,0.02,1
4891132530116,202604,0,0.0,0.02,1
4891132530116,202605,0,-14.91626489010068,0.02,1
4891132530116,202606,0,11.853675535912624,0.02,1
4891132601014,202503,0,0.0,0.020148618437470577,1
4891132601014,202507,0,-15.4431189132222,0.02,1
4891132601014,202508,0,14.19636939257166,0.02,1
4891132601014,202509,0,1.246749520650539,0.02,1
4891132601014,202510,0,-1.2029381876472414,0.41612064457761533,1
6901028000833,202501,0,-3.627623719212288,0.02,1
6901028000833,202502,0,-9.202440339154869,0.05095241389618285,1
6901028000833,202503,1,6.610729894797245,0.050309612097897985,1
6901028000833,202504,0,-5.979354647891917,0.07308964458862392,1
6901028000833,202505,0,8.700701476925808,0.02,1
6901028000833,202506,0,-4.635362388634356,0.022459289591603742,1
6901028000833,202507,0,-6.959644355117391,0.02,1
6901028000833,202508,0,8.717895328907467,0.02,1
6901028000833,202509,0,-5.183721519679338,0.02,1
6901028000833,202510,1,2.8045853311251534,0.02,1
6901028000833,202511,0,-7.069780380090009,0.14692475557899473,1
6901028000833,202512,0,9.4822265391116,0.04809946387939039,1
6901028000833,202601,0,-6.386169235061097,0.27566442229309485,1
6901028000833,202602,0,0.5159377053059231,0.02,1
6901028000833,202603,0,0.940178796434374,0.047928216880187495,1
6901028000833,202604,1,-18.87501968160747,0.16620662419687593,1
6901028000833,202605,1,14.550521684188674,0.09459444850331082,1
6901028000833,202606,0,-0.075070417705767,0.02,1
6901028001625,202501,0,-10.901629101490748,0.02,1
6901028001625,202502,0,-3.993690738467905,0.13884891529944593,1
6901028001625,202503,0,1.194522755905588,0.04786888223246029,1
6901028001625,202504,0,-2.2766658016328734,0.19268832473797015,1
6901028001625,202505,0,3.949804531726379,0.039381467487667965,1
6901028001625,202506,0,-2.9995446286259693,0.038918565239241976,1
6901028001625,202507,0,-1.2966140634307592,0.02466349259633667,1
6901028001625,202508,0,-0.1819512321344945,0.05444402120302415,1
6901028001625,202509,0,3.942399333208464,0.1299066465642921,1
6901028001625,202510,0,-2.450597687256426,0.02,1
6901028001625,202511,0,-3.8792118911356814,0.02,1
6901028001625,202512,0,11.89622721755245,0.02400905381406077,1
6901028001625,202601,0,-8.6327342958406,0.03308703099026506,1
6901028001625,202602,0,-1.4552460872709574,0.02,1
6901028001625,202603,0,3.2850903099974644,0.02,1
6901028001625,202604,0,5.143208930394714,0.024936154990978277,1
6901028001625,202605,1,-1.6498950260735228,0.03614644284738946,1
6901028001625,202606,0,-2.7682045937193607,0.02063377188997233,1
6901028005036,202501,0,-2.978452454112677,0.02,1
6901028005036,202502,0,-3.343185852073184,0.023835841970756392,1
6901028005036,202503,0,0.5461529806569345,0.04212390010698517,1
6901028005036,202504,0,-3.619151859051904,0.1839755898770739,1
6901028005036,202505,1,5.909925449176576,0.11261533807369764,1
6901028005036,202506,0,-8.085899771103179,0.02,1
6901028005036,202507,0,-1.676103821681025,0.08687865417031658,1
6901028005036,202508,0,2.681470377316927,0.03383888396098615,1
6901028005036,202509,0,8.2176428905533,0.04133355850709989,1
6901028005036,202510,0,4.625563776969074,0.028429814518824356,1
6901028005036,202511,0,-9.772866898884502,0.1012757245667808,1
6901028005036,202512,0,8.481852049139107,0.039565911973008745,1
6901028005036,202601,0,1.0200577963589623,0.0566012308837501,1
6901028005036,202602,0,-1.9304369438915143,0.06293320162423802,1
6901028005036,202603,0,-3.3557500180900064,0.06922785013233071,1
6901028005036,202604,0,2.991108771456318,0.252427874197817,1
6901028005036,202605,0,-5.062785411348415,0.1486136982811947,1
6901028005036,202606,0,-1.8454528731802284,0.3009308307281371,1
6901028009744,202501,0,-8.579576260643549,0.02,1
6901028009744,202502,0,-7.6224466073431,0.1438964391591793,1
6901028009744,202503,1,-1.2362872149769617,0.08342975849529906,1
6901028009744,202504,0,-1.368441237045943,0.05043355083608919,1
6901028009744,202505,1,2.326740731011455,0.042272080520942196,1
6901028009744,202506,0,2.1718177496683566,0.030231047833758233,1
6901028009744,202507,0,-15.160814685119732,0.021206876172986652,1
6901028009744,202508,0,0.2638157223423576,0.02327114391450226,1
6901028009744,202509,1,15.895500403196904,0.02249740469601636,1
6901028009744,202510,0,4.734067038469554,0.02,1
6901028009744,202511,0,-8.307804776940031,0.20125100513771815,1
6901028009744,202512,1,11.308027821308514,0.11603537548392581,1
6901028009744,202601,0,-1.8407692912633,0.10886296997293018,1
6901028009744,202602,0,-2.6141287323083446,0.053765359351642734,1
6901028009744,202603,0,3.244325370874691,0.07293289040069971,1
6901028009744,202604,1,-0.0132208866169918,0.02,1
6901028009744,202605,0,-1.1248397684172955,0.02,1
6901028009744,202606,1,-10.007944553110724,0.021578843299700914,1
6901028009805,202501,0,-0.0714573648538419,0.02,1
6901028009805,202502,0,-0.1776239001140211,0.13172589276557792,1
6901028009805,202503,0,3.5842663168137463,0.24376967273198877,1
6901028009805,202504,0,-15.750108466126882,0.24487681715144533,1
6901028009805,202505,0,14.945788408191632,0.12032471574840488,1
6901028009805,202506,0,-5.969001322106557,0.21465657547795983,1
6901028009805,202507,0,-6.132107952154378,0.10487292178348438,1
6901028009805,202508,0,1.6127969858212836,0.4111816037785518,1
6901028009805,202509,0,-3.1375774974545934,0.11546892592984725,1
6901028009805,202510,0,12.890108009896744,0.09029143412310521,1
6901028009805,202511,0,-18.07686627341413,0.11945488877508097,1
6901028009805,202512,0,16.96915408124967,0.46109665636174,1
6901028009805,202601,0,2.980687874258855,0.04183749873923452,1
6901028009805,202602,0,-3.883206937781523,0.1486242822367185,1
6901028009805,202603,0,-4.529223948878027,0.0795476643598971,1
6901028009805,202604,0,-1.5330070952908486,0.2665414977925202,1
6901028009805,202605,1,-0.8206438022630351,0.14207406150441554,1
6901028009805,202606,0,-11.84947575386363,0.09402577267350355,1
6901028010115,202501,0,-11.616621634194884,0.02,1
6901028010115,202502,1,-3.1793235369064448,0.3498315149123971,1
6901028010115,202503,0,15.586482021087754,0.02,1
6901028010115,202504,0,-10.46005549914451,0.02,1
6901028010115,202505,1,13.131254343605896,0.18990693835738914,1
6901028010115,202507,0,-15.269900237445867,0.16817781093598574,1
6901028010115,202508,1,0.0,0.11984433458405311,1
6901028010115,202509,0,11.921803013466231,0.02,1
6901028010115,202510,0,3.521315899755976,0.02,1
6901028010115,202511,0,0.0,0.02,1
6901028010115,202512,0,-6.606102287226271,0.02,1
6901028010115,202601,0,1.326348204099176,0.02,1
6901028010115,202602,0,-2.9468462986877317,0.1482317839014803,1
6901028010115,202603,1,0.5840488499617251,0.6965550051571794,1
6901028010115,202604,0,1.7919575758757702,0.07936859587806676,1
6901028010115,202605,0,-1.0711035521719126,0.34547693303231375,1
6901028010115,202606,1,-2.890284177466711,0.4887648547572193,1
