seed,spearman_vs_seed101,top20_overlap_vs_seed101,cate_mean,cate_sd
101,1.0,1.0,4.561235930999461,6.475457524953298
102,0.7574084471907885,0.6522522522522523,3.8208184473175417,6.436576070635885
103,0.7909247616007689,0.69009009009009,4.792092749243522,5.946761196740671
104,0.7531017955023004,0.6666666666666666,4.441941262266052,6.571333158782957
105,0.7874989648136244,0.6630630630630631,4.2731363341860344,6.216580260911223
106,0.7829982547247006,0.6396396396396397,4.615291710156349,6.389575771660533
107,0.7837962223987607,0.7063063063063063,5.281022869995845,6.562258247077496
108,0.7498445071419719,0.6,4.012138501313168,6.153137938527478
109,0.6514312853810992,0.5765765765765766,4.498280873070962,6.636590360219365
110,0.8292362251559816,0.7081081081081081,4.910240547751471,6.49413441689924
111,0.8015633498072465,0.6594594594594595,4.515805644440676,6.533692500628451
112,0.7753707868640831,0.6774774774774774,4.879554386147265,6.5081177919781865
