feature,importance
S_clean_pre,0.16242768025267115
price_index_pre,0.125880558365286
gross_margin_pre,0.11884939910147087
unitval_pre,0.07652253647867657
amt_per_cust_pre,0.07466028861370215
ord_success_pre,0.07340649227553038
inventory_ratio_pre,0.06991458389835208
fill_pre,0.06744238612255367
demand_gap_pre,0.05382842854100742
util_pre,0.05306652515727777
new_cust_pre,0.04135780307534653
channel_coverage_pre,0.033779505786572676
band_中档,0.01804513054814877
cat_一类烟,0.009965889800608602
full_surf_pre,0.006747070817552002
band_高档,0.006627879162050506
band_中高档,0.003917934611390433
cat_三类烟,0.0028521248982815257
cat_二类烟,0.0007077824935208517
band_低档,0.0
cat_五类烟,0.0
cat_四类烟,0.0
band_中低档,0.0
