outcome,sample,n,n_treat,estimate,se,ci_low,ci_high,support_lo,support_hi,treated_outside_pct
Y,full,1825,253,2.5765571890360617,1.0818352234422035,0.45616015108934294,4.696954226982781,0.02,0.9012093653518257,0.3952569169960474
Y,common_support,1824,252,2.5770813401843387,1.0824283704873674,0.45552173402909846,4.698640946339578,0.02,0.9012093653518257,0.3952569169960474
Y_pre,full,1687,229,-0.911873022221986,1.480409032756265,-3.813474726424265,1.989728681980293,0.02,0.9065773264095447,0.0
Y_pre,common_support,1686,229,-0.8887777086886592,1.4811070846606091,-3.7917475946234527,2.0141921772461346,0.02,0.9065773264095447,0.0
