case_group,ym,code,name,cat,tau_oot,Y,lag_Sstar,lag_inventory_ratio,fill_prev,fill,fill_drop_pp,price_index,gross_margin,inventory_ratio,sell_rate
高排序5例,202511,6901028207508,利群(软红长嘴),一类烟,22.29530558827837,10.539706080274655,66.69539104402628,31.123076923076923,98.484848,90.322581,8.162267,1.1530398322851152,0.275243336328242,286.9107142857143,0.0
高排序5例,202509,6901028172509,黄金叶(商鼎),一类烟,14.141683504692292,6.2860234340897705,50.750750750750754,527.1525423728814,99.438202,85.051546,14.386656000000002,1.1428571428571428,0.2755144588744588,972.4121212121212,
高排序5例,202602,6901028111270,南京(炫赫门),二类烟,12.582627814155192,-0.095338275562689,58.40771279610109,30.128446536650973,98.640133,0.0,98.640133,1.1612903225806452,,,0.0
高排序5例,202510,6901028218603,黄鹤楼(硬1916如意),一类烟,12.442581076782954,-0.1900606696127624,58.35566872152238,2188.0,88.888889,0.0,88.888889,1.1792452830188678,,,
高排序5例,202605,6901028218634,黄鹤楼(硬1916红爆),一类烟,12.013821803319368,-0.4776101436927078,81.24857452389098,121.36734693877553,98.657718,0.0,98.657718,1.3873473917869037,,,0.0
低排序5例,202606,6901028071475,中南海(5mg),二类烟,-13.36646178363085,-5.123912227683803,39.39566331868591,283.4155844155844,98.717949,96.551724,2.1662250000000114,1.1353711790393013,0.242160792264504,469.2857142857143,0.0
低排序5例,202601,6901028092432,人民大会堂(红细支),一类烟,-11.001228385348169,2.06798534556809,60.445788702612525,217.63636363636363,98.507463,92.857143,5.650320000000008,1.1555555555555554,0.2755111111111111,382.1692307692308,0.0
低排序5例,202604,6901028159548,泰山(硬红八喜),三类烟,-9.192258634549086,-0.3205733214893769,41.61167601683029,109.10912981455066,99.85755,0.0,99.85755,1.1355695317959469,,,0.0
低排序5例,202512,6901028159753,泰山(心悦),二类烟,-8.81625685551267,-1.937206232429979,42.94871794871795,304.59375,98.969072,87.5,11.469071999999997,1.1435105774728418,0.2420566854529118,693.8571428571429,
低排序5例,202512,6901028112505,南京(大观园爆冰),一类烟,-8.339273627926714,-5.0998721805286,57.254138266796495,255.34615384615387,89.655172,0.0,89.655172,1.1406844106463878,,,
