feature,importance
price_index,7.169044909208381
ord_success,4.660742665636493
inventory_ratio,4.0650809970136335
demand_gap,3.030563052118244
fill,3.0269259761038696
S,2.95712662532795
amt_per_cust,1.4323571524696044
channel_coverage,1.3990787783810696
full_surf,1.3777142035602825
util,1.196104847588084
unitval,0.9860540263475329
gross_margin,0.8953092154463819
new_cust,0.8615221286219934
cat_二类烟,0.582026859137748
cat_一类烟,0.10958753965287746
band_中档,0.09934589230219563
band_高档,0.07453881931993317
cat_四类烟,0.027343393942230294
band_中高档,0.021604528933425765
cat_三类烟,0.020779184771521957
band_中低档,0.0
cat_五类烟,0.0
band_低档,0.0
