code,ym,T,Y,S,util,fill,full_surf,ord_success,price_index,gross_margin,unitval,inventory_ratio,channel_coverage,demand_gap,amt_per_cust,new_cust,cat_一类烟,cat_三类烟,cat_二类烟,cat_五类烟,cat_四类烟,band_中低档,band_中档,band_中高档,band_高档,band_低档,CATE,sensitivity
4891132530116,202501,0,0.0,39.83981805714251,85.71,0.0,100.0,0.0,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,-0.498328182223146,低敏感
4891132530116,202502,0,0.0,39.83981805714251,85.71,0.0,100.0,3.73,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,0.505471534322751,中敏感
4891132530116,202503,0,0.0,39.83981805714251,85.71,0.0,100.0,0.0,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,-0.498328182223146,低敏感
4891132530116,202504,0,0.0,39.83981805714251,85.71,0.0,100.0,3.73,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,0.505471534322751,中敏感
4891132530116,202505,0,0.0,39.83981805714251,85.71,0.0,100.0,3.73,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,0.505471534322751,中敏感
4891132530116,202506,0,0.0,39.83981805714251,85.71,0.0,100.0,3.73,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,0.505471534322751,中敏感
4891132530116,202507,0,0.0,39.83981805714251,85.71,0.0,100.0,0.0,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,-0.498328182223146,低敏感
4891132530116,202508,0,-3.521215136299759,39.83981805714251,85.71,0.0,100.0,0.0,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,-0.498328182223146,低敏感
4891132530116,202509,0,3.521215136299759,36.31860292084275,100.0,0.0,100.0,0.47,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.0047281323877068,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,5.485125969898373,中敏感
4891132530116,202510,0,8.414324205953541,39.83981805714251,85.71,0.0,100.0,3.73,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,0.505471534322751,中敏感
4891132530116,202511,0,-23.310530814567297,48.25414226309605,100.0,97.727273,100.0,0.47,1.177336276674025,0.2254718756951931,16987.5,10.953488372093023,0.0047114252061248,-96.727273,0.0006883038869257,43.0,0,1,0,0,0,0,0,1,0,0,-13.52073805224218,低敏感
4891132530116,202512,1,14.896206608613756,24.943611448528753,0.0,0.0,100.0,0.0,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.0047169811320754,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,4.508547327169799,中敏感
4891132530116,202601,0,0.0,39.83981805714251,85.71,0.0,100.0,3.73,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,0.505471534322751,中敏感
4891132530116,202602,0,0.0,39.83981805714251,85.71,0.0,100.0,3.73,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,0.505471534322751,中敏感
4891132530116,202603,0,0.0,39.83981805714251,85.71,0.0,100.0,0.0,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,-0.498328182223146,低敏感
4891132530116,202604,0,0.0,39.83981805714251,85.71,0.0,100.0,0.0,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,-0.498328182223146,低敏感
4891132530116,202605,0,-14.916264890100681,39.83981805714251,85.71,0.0,100.0,3.73,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,0.505471534322751,中敏感
4891132530116,202606,0,11.853675535912625,24.923553167041828,0.0,0.0,100.0,0.0,1.177336276674025,0.2421950181187635,41870.0,319.5907434402332,0.0012062726176115,1.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,2.5067841468760976,中敏感
4891132601014,202503,0,0.0,58.182938066900036,85.71,98.452883,100.0,0.0,1.240419970761529,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,1.816321494449756,中敏感
4891132601014,202507,0,-15.4431189132222,58.182938066900036,85.71,98.452883,100.0,0.0,1.240419970761529,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,1.816321494449756,中敏感
4891132601014,202508,0,14.196369392571661,42.739819153677836,85.71,0.0,100.0,0.0,1.240419970761529,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,1,0,0,0,0,0,0,0,1,0,2.0340196185269814,中敏感
4891132601014,202509,0,1.246749520650539,56.9361885462495,85.71,100.0,100.0,0.0,1.240419970761529,0.2253798786160457,56432.5,94.0,0.2635933806146572,-99.0,0.0002134562647754,4.0,1,0,0,0,0,0,0,0,1,0,-8.268765715610307,低敏感
