feature,before,after
util_pre,-0.07765155044362274,0.042595363644009336
fill_pre,0.5739100021787032,0.0052672425370280836
full_surf_pre,-0.1890715664955958,-0.018076616742589226
ord_success_pre,0.09753460312833623,0.033564835452032295
price_index_pre,-0.027811554385426977,0.0989369181608662
gross_margin_pre,0.5795972002736527,0.050133027013656024
unitval_pre,0.3099251213277417,0.09570464180539316
inventory_ratio_pre,0.19259012325844757,0.07455237098954903
channel_coverage_pre,0.08502501847456283,0.025031066556897946
demand_gap_pre,-0.5739100021787034,-0.005267242537027909
amt_per_cust_pre,0.06865969386829687,0.010694114092429733
new_cust_pre,0.1686195716377413,-0.09048103228031525
S_pre,0.5040438974557817,0.09918988331666335
cat_一类烟,0.08944436888932206,0.09408349389678816
cat_二类烟,-0.08893653485559615,-0.09520025348282903
cat_三类烟,0.014045751093833504,0.0
cat_四类烟,-0.0440296075198275,-0.051351658221895066
cat_五类烟,-0.11870291677255412,0.0
band_低档,0.0,0.0
band_中低档,-0.11870291677255412,0.0
band_中档,-0.09101225417121596,0.0
band_中高档,0.060068275146703924,-0.010429044817990863
band_高档,0.01419760533329995,0.009541971684058462
