feature,importance
S_pre,0.18245164160988675
amt_per_cust_pre,0.17531970077142597
inventory_ratio_pre,0.09493652148478046
unitval_pre,0.0935686454749127
price_index_pre,0.089875116993997
ord_success_pre,0.08576649221491396
util_pre,0.04563415501669143
gross_margin_pre,0.041758497899144036
demand_gap_pre,0.04023351610192828
channel_coverage_pre,0.03420803320459723
new_cust_pre,0.029247378285184776
fill_pre,0.02704736735438342
full_surf_pre,0.01860073064798317
band_高档,0.01276817411453097
cat_一类烟,0.01195315558912884
cat_三类烟,0.008611369700648125
band_中高档,0.005371688130942367
cat_二类烟,0.0019030770818133731
band_中档,0.0007447383231072299
band_低档,0.0
cat_五类烟,0.0
cat_四类烟,0.0
band_中低档,0.0
