ym,code,name,cat,wholesale,retail,demand,vol,amt,unitval,inv,fill,cost,profit,put,need,vol_d,should_cust,put_cust,ord_cust,ord_success,ord_success_put,fill_d,full_cust,util,full_surf,soc_vol,soc_inv,sell_rate,salable_days,vol_p,req,fill_p,should_cust_p,act_cust,put_surf,purch_surf,rep_cust2,rep_cust3,rep_cust4,rep_cust5,rep_rate2,rep_rate3,rep_rate4,rep_rate5,new_cust,ym_dt,month,year,price_index,gross_margin,inventory_ratio,demand_gap,unit_growth,amt_per_cust,channel_coverage,price_band,price_band_cat
202501,6901028942911,双喜(软珍品好日子),二类烟,137.8,160.0,0.016,0.016,0.05512,34450.0,111.636,100.0,0.035432,0.013348,137.8,0.004,0.0,844.0,,,0.0,,0.0,,,,,,,,0.02,0.02,100.0,844.0,4.0,0.11,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-01-01,1,2025,1.1611030478955007,0.24216255442670537,6977.25,-99.0,,6.530805687203791e-05,,5,高档
202501,6901028185912,黄鹤楼(硬红),一类烟,190.8,220.0,219.688,218.76,1043.4852,47700.0,6916.956,99.577583,635.935357,287.503074,190.8,4.584,4.544,844.0,828.0,694.0,82.23,83.82,99.13,692.0,84.27,99.71,,,0.0,,218.76,219.69,99.58,844.0,844.0,100.0,100.0,844.0,839.0,791.0,781.0,100.0,99.41,93.72,92.54,3.0,2025-01-01,1,2025,1.1530398322851152,0.27552194702905225,31.618924849149757,-98.577583,,1.2363568720379148,0.981042654028436,5,高档
202501,6901028009744,双喜(勿忘我),一类烟,175.0,200.0,1.688,1.64,7.175,43750.0,29.84,97.156398,4.37265,1.97702,175.0,4.764,4.72,844.0,842.0,546.0,64.69,64.85,99.08,545.0,63.65,99.82,,,0.0,,1.64,1.69,97.16,844.0,307.0,13.8,36.37,103.0,0.0,0.0,0.0,33.55,0.0,0.0,0.0,250.0,2025-01-01,1,2025,1.1428571428571428,0.27554285714285714,18.195121951219512,-96.156398,,0.008501184834123222,0.9976303317535545,5,高档
202501,6901028145077,娇子(宽窄好运细支),一类烟,225.0,260.0,2.484,2.444,13.7475,56250.0,444.048,98.389694,8.379619,3.786611,225.0,0.728,0.708,844.0,689.0,167.0,19.79,24.24,97.25,167.0,24.18,100.0,,,0.0,,2.44,2.48,98.39,844.0,333.0,21.26,39.45,276.0,0.0,0.0,0.0,82.88,0.0,0.0,0.0,91.0,2025-01-01,1,2025,1.1555555555555554,0.2754399709038007,181.68903436988543,-97.389694,,0.01628850710900474,0.816350710900474,5,高档
202501,6901028045919,云烟(软珍品),一类烟,206.7,230.0,0.716,0.66,3.41055,51675.0,536.068,92.178771,2.078948,0.939232,206.7,14.552,14.456,844.0,833.0,794.0,94.08,95.32,99.34,794.0,100.7,100.0,,,0.0,,0.66,0.72,92.18,844.0,69.0,4.73,8.18,64.0,32.0,0.0,0.0,92.75,46.38,0.0,0.0,2.0,2025-01-01,1,2025,1.1127237542331883,0.27539018633358253,812.2242424242423,-91.178771,,0.004040936018957346,0.9869668246445498,5,高档
202501,6901028165365,黄金叶(天香细支),一类烟,455.8,550.0,0.016,0.016,0.18232,113950.0,119.272,100.0,0.105028,0.056316,455.8,0.016,0.016,844.0,4.0,4.0,0.47,100.0,100.0,4.0,100.0,100.0,,,0.0,,0.02,0.02,100.0,844.0,4.0,0.11,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2025-01-01,1,2025,1.2066695919262835,0.3088854760860026,7454.5,-99.0,,0.00021601895734597157,0.004739336492890996,5,高档
202501,6901028057080,双喜(硬晶彩好日子),一类烟,158.0,180.0,0.156,0.132,0.5214,39500.0,182.804,84.615385,0.335181,0.126225,158.0,0.02,0.0,844.0,,,0.0,,0.0,,,,,,,,0.13,0.16,84.62,844.0,33.0,0.9,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2025-01-01,1,2025,1.139240506329114,0.24208860759493672,1384.8787878787878,-83.615385,,0.0006177725118483412,,5,高档
202501,6901028119009,利群(西子阳光),一类烟,275.6,310.0,0.276,0.264,1.81896,68900.0,120.276,95.652174,1.047816,0.561858,275.6,2.556,2.496,844.0,684.0,441.0,52.25,64.47,97.65,441.0,69.26,100.0,,,0.0,,0.26,0.28,95.65,844.0,66.0,1.97,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2025-01-01,1,2025,1.1248185776487662,0.3088896952104499,455.59090909090907,-94.652174,,0.002155165876777251,0.8104265402843602,5,高档
202501,6901028012003,真龙(凌云),二类烟,121.9,150.0,0.284,0.268,0.81673,30475.0,180.296,94.366197,0.525012,0.197784,121.9,0.016,0.016,844.0,4.0,4.0,0.47,100.0,100.0,4.0,100.0,100.0,,,0.0,,0.27,0.28,94.37,844.0,67.0,1.86,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-01-01,1,2025,1.2305168170631664,0.24216570959803116,672.7462686567163,-93.366197,,0.0009676895734597156,0.004739336492890996,5,高档
202501,6901028141147,七匹狼(蓝),三类烟,71.0,80.0,4.168,4.14,6.91173,16695.0,1950.504,99.328215,4.443255,1.673311,71.0,0.58,0.556,844.0,72.0,71.0,8.41,98.61,95.86,71.0,114.88,100.0,,,0.0,,4.14,4.17,99.33,844.0,733.0,20.68,86.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2025-01-01,1,2025,1.1267605633802817,0.24209727521184998,471.13623188405796,-98.328215,,0.00818925355450237,0.08530805687203792,4,中高档
202501,6901028301695,南京(软九五),一类烟,720.8,1000.0,,,,,22.96,,,,720.8,3.316,3.236,844.0,495.0,446.0,52.84,90.1,97.59,446.0,115.9,100.0,,,0.0,,,,,,,,,,,,,,,,,,2025-01-01,1,2025,1.3873473917869035,,,,,,0.5864928909952607,5,高档
202501,6901028104241,哈尔滨(老巴夺),三类烟,97.0,110.0,1.704,1.656,4.0158,24250.0,170.236,97.183099,2.581418,0.972358,97.0,,,844.0,,,0.0,,,,,,,,,,1.66,1.7,97.18,844.0,414.0,11.67,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2025-01-01,1,2025,1.134020618556701,0.24213307435629267,102.79951690821255,-96.183099,,0.004758056872037914,,4,中高档
202501,6901028000833,双喜(软经典),三类烟,97.0,110.0,7.832,7.76,18.818,24250.0,525.308,99.080695,12.095904,4.557056,97.0,5.524,5.468,844.0,809.0,629.0,74.53,77.75,98.99,627.0,89.29,99.68,,,0.0,,7.76,7.83,99.08,844.0,825.0,38.63,97.75,770.0,0.0,0.0,0.0,93.33,0.0,0.0,0.0,3.0,2025-01-01,1,2025,1.134020618556701,0.24216473589116802,67.69432989690722,-98.080695,,0.02229620853080569,0.9585308056872038,4,中高档
202501,8888075034715,555(国际版),一类烟,254.92,300.0,0.004,0.0,0.0,,4.136,0.0,0.0,0.0,254.92,0.004,0.0,844.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2025-01-01,1,2025,1.1768397928761964,,,1.0,,0.0,,5,高档
202501,6901028136891,金圣(硬红·十二生肖),三类烟,61.5,70.0,1.56,1.5,2.30625,15375.0,126.108,96.153846,1.482375,0.558375,61.5,1.24,1.224,844.0,326.0,306.0,36.26,93.87,98.71,306.0,93.87,100.0,,,0.0,,1.5,1.56,96.15,844.0,375.0,10.36,44.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2025-01-01,1,2025,1.1382113821138211,0.24211382113821137,84.072,-95.153846,,0.0027325236966824645,0.3862559241706161,3,中档
202501,6901028181815,红金龙(硬蓝爱你),三类烟,97.0,110.0,1.572,1.524,3.6957,24250.0,1179.588,96.946565,2.375535,0.894969,97.0,5.876,5.792,844.0,372.0,815.0,96.56,219.09,98.57,812.0,235.45,99.63,,,0.0,,1.52,1.57,96.95,844.0,381.0,11.17,45.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2025-01-01,1,2025,1.134020618556701,0.24216494845360825,774.007874015748,-95.946565,,0.004378791469194313,0.44075829383886256,4,中高档
202501,6901028071536,中南海(5mg细支),二类烟,121.9,140.0,,,,,119.64,,,,121.9,0.032,0.032,844.0,4.0,4.0,0.47,100.0,100.0,4.0,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,2025-01-01,1,2025,1.1484823625922886,,,,,,0.004739336492890996,5,高档
202501,6901028180818,黄鹤楼(天下名楼),二类烟,139.92,160.0,7.928,7.828,27.382344,34980.0,1154.688,98.738648,17.603215,6.629067,139.92,44.72,44.064,844.0,844.0,838.0,99.29,99.29,98.53,836.0,114.92,99.76,,,0.0,,7.83,7.93,98.74,844.0,747.0,22.1,88.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2025-01-01,1,2025,1.1435105774728418,0.24209275144596826,147.5074092999489,-97.738648,,0.032443535545023695,1.0,5,高档
202501,6901028920858,金圣(智圣出山双中支),一类烟,510.0,600.0,,,,,9.068,,,,510.0,1.904,1.884,844.0,462.0,467.0,55.33,101.08,98.95,467.0,101.73,100.0,,,0.0,,,,,,,,,,,,,,,,,,2025-01-01,1,2025,1.1764705882352942,,,,,,0.54739336492891,5,高档
202501,6901028160285,黄金叶(乐途),二类烟,121.9,140.0,0.012,0.0,0.0,,848.716,0.0,0.0,0.0,121.9,0.016,0.016,844.0,4.0,4.0,0.47,100.0,100.0,4.0,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,2025-01-01,1,2025,1.1484823625922886,,,1.0,,0.0,0.004739336492890996,5,高档
202501,6901028150378,泰山(望岳),一类烟,167.48,190.0,0.1,0.084,0.351708,41870.0,204.532,84.0,0.226086,0.085155,167.48,2.872,2.832,844.0,844.0,708.0,83.89,83.89,98.61,708.0,83.89,100.0,,,0.0,,0.08,0.1,84.0,844.0,21.0,0.57,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2025-01-01,1,2025,1.1344638165751135,0.2421184619058992,2434.904761904762,-83.0,,0.00041671563981042655,1.0,5,高档
202501,6901028075053,牡丹(软),二类烟,121.9,140.0,3.48,3.332,10.15427,30475.0,832.388,95.747126,6.526544,2.45986,121.9,0.024,0.016,844.0,4.0,4.0,0.47,100.0,66.67,4.0,100.0,100.0,,,0.0,,3.33,3.48,95.75,844.0,833.0,23.06,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2025-01-01,1,2025,1.1484823625922886,0.24224882734061629,249.81632653061226,-94.747126,,0.012031125592417062,0.004739336492890996,5,高档
202501,6901028065504,兰州(硬珍品),二类烟,155.0,180.0,0.016,0.016,0.062,38750.0,106.62,100.0,0.039524,0.015344,155.0,8.552,8.46,844.0,820.0,718.0,85.07,87.56,98.92,718.0,90.58,100.0,,,0.0,,0.02,0.02,100.0,844.0,4.0,0.11,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2025-01-01,1,2025,1.1612903225806452,0.24748387096774194,6663.75,-99.0,,7.345971563981042e-05,0.9715639810426541,5,高档
