feature,before,after
util_pre,-0.08616736411946525,0.007882753832446696
fill_pre,0.5646915897490307,0.05107830827529143
full_surf_pre,-0.1947521437397123,-0.07790132519935293
ord_success_pre,0.10084016472742748,-0.07210560475477994
price_index_pre,-0.048885663153435045,-0.009198801772722136
gross_margin_pre,0.5547977029574949,-0.07474591109735164
unitval_pre,0.2647085431837537,-0.035776390148698455
inventory_ratio_pre,0.21029002791953155,0.07328954382452209
channel_coverage_pre,0.08166472437899684,-0.045495147517176614
demand_gap_pre,-0.5646915897490309,-0.05107830827529047
amt_per_cust_pre,0.032016470041908954,-0.037207663223786616
new_cust_pre,0.1324231014133744,-0.021316738445061986
S_pre,0.4711144672506539,-0.06736264724645116
cat_一类烟,0.07399764161879697,-0.02414647292322859
cat_二类烟,-0.07928010078426086,0.03030809260327558
cat_三类烟,0.022428319531160375,0.0
cat_四类烟,-0.0409522750463026,0.0
cat_五类烟,-0.11858012418620485,0.0
band_低档,0.0,0.0
band_中低档,-0.11858012418620485,0.0
band_中档,-0.08805418896362889,0.04050011422313945
band_中高档,0.06838775563573447,-0.010551775993575851
band_高档,0.0051446515390272006,-0.009727658749627022
