feature,importance
S_pre,0.24308164912736033
price_index_pre,0.16087596397907192
ord_success_pre,0.11970568291146487
amt_per_cust_pre,0.07624052516434873
demand_gap_pre,0.0726141639984087
util_pre,0.05583041945133585
fill_pre,0.040137108209158445
gross_margin_pre,0.03573384643819722
channel_coverage_pre,0.035193616538914625
inventory_ratio_pre,0.032678923495729414
full_surf_pre,0.030874717363941363
unitval_pre,0.02913167012642366
new_cust_pre,0.02364783548423224
cat_一类烟,0.017002772076427745
band_高档,0.015313297691720695
cat_三类烟,0.006405056068178269
band_中高档,0.0052471369757019146
band_中档,0.00022384874121780926
cat_二类烟,6.176615816610218e-05
band_低档,0.0
cat_五类烟,0.0
cat_四类烟,0.0
band_中低档,0.0
