ym,code,name,cat,wholesale,retail,demand,vol,amt,unitval,inv,fill,cost,profit,put,need,vol_daily,should_cust,put_cust,ord_cust,ord_success,ord_success_put,fill_daily,full_cust,util,full_surf,soc_vol,soc_inv,sell_rate,salable_days,vol_purchase,req,fill_purchase,should_cust_purchase,act_cust,put_surf,purch_surf,rep_cust2,rep_cust3,rep_cust4,rep_cust5,rep_rate2,rep_rate3,rep_rate4,rep_rate5,new_cust,date,month,price_index,gross_margin,inventory_ratio,demand_gap,amt_per_cust,channel_coverage,price_band_cat,S,S_prev,S_next,Y,T,util_pre,fill_pre,full_surf_pre,ord_success_pre,price_index_pre,gross_margin_pre,unitval_pre,inventory_ratio_pre,channel_coverage_pre,demand_gap_pre,amt_per_cust_pre,new_cust_pre,S_pre,cat_一类烟,cat_三类烟,cat_二类烟,cat_五类烟,cat_四类烟,band_中低档,band_中档,band_中高档,band_高档,band_低档,CATE,CATE_lo,CATE_hi,sensitivity,ps
202502,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.016,0.0,0.0,,8.248,0.0,0.0,0.0,0.0,,,846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-01,2,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.8787564651797184,-5.375536155872851,-0.3819767744865863,低敏感,0.06868095209946015
202503,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,8.248,0.0,0.0,0.0,0.0,,,845.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-01,3,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.2936504153319506,-4.409937532635746,-0.17736329802815387,低敏感,0.06974540191414992
202504,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,8.248,0.0,0.0,0.0,0.0,,,844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,4,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.8787564651797184,-5.375536155872851,-0.3819767744865863,低敏感,0.06868095209946015
202505,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,7.192,0.0,0.0,0.0,0.0,,,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-01,5,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.2936504153319506,-4.409937532635746,-0.17736329802815387,低敏感,0.06974540191414992
202506,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,62.244,0.0,0.0,0.0,0.0,,,838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-01,6,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.2936504153319506,-4.409937532635746,-0.17736329802815387,低敏感,0.06974540191414992
202507,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,30.14,0.0,0.0,0.0,0.0,,,843.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-01,7,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.2936504153319506,-4.409937532635746,-0.17736329802815387,低敏感,0.06974540191414992
202508,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.024,0.0,0.0,,17.74,0.0,0.0,0.0,0.0,0.02,0.0,842.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,8,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,27.0712744476253,-4.0558621797972485,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.8787564651797184,-5.375536155872851,-0.3819767744865863,低敏感,0.06868095209946015
202509,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,13.864,0.0,0.0,0.0,0.032,0.032,0.032,846.0,4.0,4.0,0.47,100.0,100.0,4.0,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,2025-09-01,9,1.177336276674025,,,100.0,0.0,0.4728132387706856,中高档,27.0712744476253,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.8787564651797184,-5.375536155872851,-0.3819767744865863,低敏感,0.06868095209946015
202510,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,209.932,0.0,0.0,0.0,0.0,,,847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-01,10,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,27.0712744476253,37.44748591898985,10.376211471364549,0,100.0,0.0,100.0,0.47,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,0.4728132387706856,100.0,0.0,8.0,27.0712744476253,0,1,0,0,0,0,0,1,0,0,-2.9364345912807313,-5.337700109012182,-0.5351690735492736,低敏感,0.07785569901883664
202511,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.352,0.344,0.58437,16987.5,3.768,97.727273,0.385402,0.131759,0.032,0.032,0.032,849.0,4.0,4.0,0.47,100.0,100.0,4.0,100.0,100.0,,,0.0,,0.34,0.35,97.73,849.0,43.0,2.77,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2025-11-01,11,1.177336276674025,0.2254718756951931,10.953488372093023,2.2727270000000037,0.0006883038869257,0.4711425206124852,中高档,37.44748591898985,31.127136627422548,18.6649227551228,-12.462213872299749,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.2936504153319506,-4.409937532635746,-0.17736329802815387,低敏感,0.06974540191414992
202512,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,2.792,0.0,0.0,0.0,0.016,,,848.0,4.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,2025-12-01,12,1.177336276674025,,,100.0,0.0,0.4716981132075472,中高档,18.6649227551228,37.44748591898985,31.127136627422548,-6.3203492915673,1,100.0,97.727273,100.0,0.47,1.177336276674025,0.2254718756951931,16987.5,10.953488372093023,0.4711425206124852,2.2727270000000037,0.0006883038869257,43.0,37.44748591898985,0,1,0,0,0,0,0,1,0,0,-1.9951866561249605,-3.1197719479764046,-0.8706013642735175,低敏感,0.47365771052690286
202601,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.02,0.0,0.0,,2.792,0.0,0.0,0.0,0.0,,,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-01,1,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,18.6649227551228,31.127136627422548,12.462213872299749,0,0.0,0.0,100.0,0.0,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,0.4716981132075472,100.0,0.0,8.0,18.6649227551228,0,1,0,0,0,0,0,1,0,0,-2.3954878443902325,-5.369340259210469,0.5783645704300038,低敏感,0.0711434961808036
202602,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.008,0.0,0.0,,2.792,0.0,0.0,0.0,0.0,,,842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-01,2,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.2936504153319506,-4.409937532635746,-0.17736329802815387,低敏感,0.06974540191414992
202603,4891132530116,红双喜(南洋经典),三类烟,67.95,80.0,0.004,0.0,0.0,,2.792,0.0,0.0,0.0,0.0,,,839.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-01,3,1.177336276674025,,,100.0,0.0,,中高档,31.127136627422548,31.127136627422548,31.127136627422548,0.0,0,87.85,0.0,100.0,3.565,1.177336276674025,0.2421843988899113,41870.0,317.3855421686747,23.452380952380956,100.0,0.0,8.0,31.127136627422548,0,1,0,0,0,0,0,1,0,0,-2.2936504153319506,-4.409937532635746,-0.17736329802815387,低敏感,0.06974540191414992
