sample,n,n_treated,retained_share,mean_cate,ci_low,ci_high,propensity_low,propensity_high
full,2886,277,1.0,4.149355395191923,3.7085032660159403,4.605764845750188,,
common_support,1913,274,0.6628551628551629,6.299333474683954,5.714760348470517,6.8990279556757415,0.16856453157588258,0.95
