code,ym,T,propensity_oof,in_support
4891132530116,202501,0,0.684264219537037,True
4891132530116,202502,0,0.03255932131456358,False
4891132530116,202503,0,0.03255932131456358,False
4891132530116,202504,0,0.03255932131456358,False
4891132530116,202505,0,0.03255932131456358,False
4891132530116,202506,0,0.03255932131456358,False
4891132530116,202507,0,0.03255932131456358,False
4891132530116,202508,0,0.03255932131456358,False
4891132530116,202509,0,0.03255932131456358,False
4891132530116,202510,0,0.03510245380877488,False
4891132530116,202511,0,0.03255932131456358,False
4891132530116,202512,1,0.6149764181487921,True
4891132530116,202601,0,0.015961635347328414,False
4891132530116,202602,0,0.03255932131456358,False
4891132530116,202603,0,0.03255932131456358,False
4891132530116,202604,0,0.03255932131456358,False
4891132530116,202605,0,0.03255932131456358,False
4891132530116,202606,0,0.03255932131456358,False
4891132601014,202503,0,0.36338927248751435,True
4891132601014,202507,0,0.1370534109698919,False
4891132601014,202508,0,0.1370534109698919,False
4891132601014,202509,0,0.02262181301223181,False
4891132601014,202510,0,0.24909881015543645,True
6901028000833,202501,0,0.6797794756180245,True
6901028000833,202502,0,0.5471332176658285,True
6901028000833,202503,1,0.7301462546688877,True
6901028000833,202504,0,0.6937366341905373,True
6901028000833,202505,0,0.5533508135793199,True
6901028000833,202506,0,0.5302099113400395,True
6901028000833,202507,0,0.548591723690095,True
6901028000833,202508,0,0.5895233241978854,True
6901028000833,202509,0,0.5281828131292021,True
6901028000833,202510,1,0.6368977403393142,True
6901028000833,202511,0,0.8328208365713485,True
6901028000833,202512,0,0.6213308505726202,True
6901028000833,202601,0,0.703228590688201,True
6901028000833,202602,0,0.5689168889857729,True
6901028000833,202603,0,0.48907750385853316,True
6901028000833,202604,1,0.7572321200888819,True
6901028000833,202605,1,0.670264187439407,True
6901028000833,202606,0,0.04984626957478222,False
6901028001625,202501,0,0.5372771961656033,True
6901028001625,202502,0,0.4805798621475951,True
6901028001625,202503,0,0.6145264483365867,True
6901028001625,202504,0,0.5543601612797805,True
6901028001625,202505,0,0.5518083729876736,True
6901028001625,202506,0,0.5581170555044375,True
6901028001625,202507,0,0.5179920341959466,True
6901028001625,202508,0,0.5104182275516335,True
6901028001625,202509,0,0.5676343551046746,True
6901028001625,202510,0,0.501485858136925,True
6901028001625,202511,0,0.5966610981539419,True
6901028001625,202512,0,0.5259039214791027,True
6901028001625,202601,0,0.5433326462800898,True
6901028001625,202602,0,0.5457049472138491,True
6901028001625,202603,0,0.027837655605858446,False
6901028001625,202604,0,0.560096874032182,True
6901028001625,202605,1,0.6344549456294423,True
6901028001625,202606,0,0.6164379240207479,True
6901028005036,202501,0,0.5138511944442411,True
6901028005036,202502,0,0.4423749118708649,True
6901028005036,202503,0,0.5371476223621396,True
6901028005036,202504,0,0.5458566277186478,True
6901028005036,202505,1,0.5702713618079842,True
6901028005036,202506,0,0.4766727850200056,True
6901028005036,202507,0,0.5721054961366007,True
6901028005036,202508,0,0.5609546528237863,True
6901028005036,202509,0,0.5385292347571652,True
6901028005036,202510,0,0.5227306827558351,True
6901028005036,202511,0,0.5813852281059142,True
6901028005036,202512,0,0.6593991672337443,True
6901028005036,202601,0,0.5466582062385943,True
6901028005036,202602,0,0.4902281234991795,True
6901028005036,202603,0,0.5593877989275661,True
6901028005036,202604,0,0.6726007649482028,True
6901028005036,202605,0,0.6635051537637524,True
6901028005036,202606,0,0.6576007051190392,True
6901028009744,202501,0,0.35304101823447154,True
6901028009744,202502,0,0.656139867193434,True
6901028009744,202503,1,0.5804812806666803,True
6901028009744,202504,0,0.6468445233050312,True
6901028009744,202505,1,0.636847426266051,True
6901028009744,202506,0,0.6121750641942242,True
6901028009744,202507,0,0.6134389395793168,True
6901028009744,202508,0,0.6323758385405783,True
6901028009744,202509,1,0.5045604222799297,True
6901028009744,202510,0,0.34798306623092734,True
6901028009744,202511,0,0.6444000478697482,True
6901028009744,202512,1,0.7034656179112014,True
6901028009744,202601,0,0.7312539810990527,True
6901028009744,202602,0,0.45783204064690014,True
6901028009744,202603,0,0.5917052215544886,True
6901028009744,202604,1,0.742796069065935,True
6901028009744,202605,0,0.4371351519413116,True
6901028009744,202606,1,0.44104089216199976,True
6901028009805,202501,0,0.36338927248751435,True
6901028009805,202502,0,0.5062412970009557,True
6901028009805,202503,0,0.620022516289099,True
6901028009805,202504,0,0.6171948209155637,True
6901028009805,202505,0,0.6538986633354119,True
6901028009805,202506,0,0.7195616936544889,True
6901028009805,202507,0,0.654434851601828,True
6901028009805,202508,0,0.6234087175300573,True
6901028009805,202509,0,0.5161381085275116,True
6901028009805,202510,0,0.6684100015244658,True
6901028009805,202511,0,0.6317995402795111,True
6901028009805,202512,0,0.7584683641054674,True
6901028009805,202601,0,0.4847680524120061,True
6901028009805,202602,0,0.546615650513164,True
6901028009805,202603,0,0.5849598485957752,True
6901028009805,202604,0,0.7832703975273577,True
6901028009805,202605,1,0.7150739190101949,True
6901028009805,202606,0,0.8740048168291417,True
6901028010115,202501,0,0.6744310080733975,True
6901028010115,202502,1,0.8417133093074161,True
6901028010115,202503,0,0.009167638507229799,False
6901028010115,202504,0,0.009238270368365342,False
6901028010115,202505,1,0.6848865448170858,True
6901028010115,202506,0,0.5294626362043033,True
6901028010115,202507,0,0.7452748898930138,True
6901028010115,202508,1,0.725260119572644,True
6901028010115,202509,0,0.009167638507229799,False
6901028010115,202510,0,0.009167638507229799,False
6901028010115,202511,0,0.08099511407432107,False
6901028010115,202512,0,0.08060297295122379,False
6901028010115,202601,0,0.08060297295122379,False
6901028010115,202602,0,0.6900840207279867,True
6901028010115,202603,1,0.6458607396561825,True
6901028010115,202604,0,0.7374161993015887,True
6901028010115,202605,0,0.7643273622769247,True
6901028010115,202606,1,0.7310618551413691,True
6901028010771,202501,0,0.35304101823447154,True
6901028010771,202503,1,0.6962390278959348,True
6901028010771,202504,0,0.6175571423815105,True
6901028010771,202505,0,0.026702814706967577,False
6901028010771,202506,0,0.5915504478835227,True
6901028010771,202507,0,0.020150378013242595,False
6901028010771,202508,0,0.02366124885623525,False
6901028010771,202510,0,0.0038457221551440116,False
6901028010771,202511,0,0.5724040372588304,True
6901028010771,202601,0,0.025906555752231657,False
6901028010771,202603,0,0.6281476593547448,True
