code,ym,name,cat,T,Y,S,fill,L1_util,L1_full_surf,L1_price_index,L1_gross_margin,L1_unitval,L1_inventory_ratio,L1_channel_coverage,L1_demand_gap,L1_amt_per_cust,L1_new_cust,L1_purch_surf,L1_rep_rate2,L1_S,cat_一类烟,cat_三类烟,cat_二类烟,cat_五类烟,cat_四类烟,price_band_cat_中低档,price_band_cat_中档,price_band_cat_中高档,price_band_cat_高档
4891132601014,202503,红双喜(爱国绿中支),一类烟,0,0.0,45.43048288115594,,87.5,100.0,1.1484823625922886,0.24217756114839845,41075.0,317.4115210843373,0.2345238095238095,-97.484848,0.00281763621607935,8.0,14.61,0.0,41.1974834563511,1,0,0,0,0,0,0,0,1
4891132601014,202507,红双喜(爱国绿中支),一类烟,0,0.0,45.43048288115594,,87.5,100.0,1.240419970761529,0.24217756114839845,41075.0,317.4115210843373,0.2345238095238095,-97.484848,0.00281763621607935,8.0,14.61,0.0,45.43048288115594,1,0,0,0,0,0,0,0,1
4891132601014,202508,红双喜(爱国绿中支),一类烟,0,2.776844621069209,45.43048288115594,0.0,87.5,100.0,1.240419970761529,0.24217756114839845,41075.0,317.4115210843373,0.2345238095238095,-97.484848,0.00281763621607935,8.0,14.61,0.0,45.43048288115594,1,0,0,0,0,0,0,0,1
4891132601014,202509,红双喜(爱国绿中支),一类烟,0,-2.776844621069209,48.20732750222515,100.0,87.5,100.0,1.240419970761529,0.24217756114839845,41075.0,317.4115210843373,0.2345238095238095,1.0,0.0,8.0,14.61,0.0,45.43048288115594,1,0,0,0,0,0,0,0,1
4891132601014,202510,红双喜(爱国绿中支),一类烟,0,2.9594251481150735,45.43048288115594,,87.5,100.0,1.240419970761529,0.2253798786160457,56432.5,94.0,0.2345238095238095,-99.0,0.0002134562647754,4.0,0.47,0.0,48.20732750222515,1,0,0,0,0,0,0,0,1
6901028000833,202501,双喜(软经典),三类烟,0,-0.8840389644277877,41.82875957257853,99.080695,87.5,100.0,1.1484823625922886,0.24217756114839845,41075.0,317.4115210843373,0.2345238095238095,-97.484848,0.00281763621607935,8.0,14.61,0.0,41.1974834563511,0,1,0,0,0,0,0,1,0
6901028000833,202502,双喜(软经典),三类烟,0,-3.499539071651597,40.94472060815074,98.658318,89.29,99.68,1.134020618556701,0.242164735891168,24250.0,67.69432989690722,0.9585308056872038,-98.080695,0.0222962085308056,3.0,97.75,93.33,41.82875957257853,0,1,0,0,0,0,0,1,0
6901028000833,202503,双喜(软经典),三类烟,1,4.1579651327230565,37.44518153649914,95.689655,72.55,100.0,1.134020618556701,0.2421613032871924,24250.0,307.60199456029017,0.8699763593380615,-97.658318,0.0126466903073286,8.0,14.61,0.0,40.94472060815074,0,1,0,0,0,0,0,1,0
6901028000833,202504,双喜(软经典),三类烟,0,-0.27683475203100016,41.6031466692222,99.408822,68.28,98.91,1.134020618556701,0.2421635553078852,24250.0,1259.013513513513,0.4757396449704142,-94.689655,0.0025484023668639,8.0,13.14,0.0,37.44518153649914,0,1,0,0,0,0,0,1,0
6901028000833,202505,双喜(软经典),三类烟,0,0.17963951258568756,41.3263119171912,99.48861,52.48,96.9,1.134020618556701,0.2421638637628394,24250.0,128.92086001829827,0.8601895734597157,-98.408822,0.0251234597156398,3.0,95.85,35.23,41.6031466692222,0,1,0,0,0,0,0,1,0
6901028000833,202506,双喜(软经典),三类烟,0,0.34165304756681536,41.505951429776886,99.545317,79.56,98.73,1.134020618556701,0.2421639849696502,24250.0,204.1771028037383,0.3523809523809524,-98.48861,0.0247119047619047,2.0,97.5,30.77,41.3263119171912,0,1,0,0,0,0,0,1,0
6901028000833,202507,双喜(软经典),三类烟,0,-0.20583821898371468,41.8476044773437,98.923028,54.71,97.24,1.134020618556701,0.2421645403518464,24250.0,155.41169305724728,0.9940334128878282,-98.545317,0.0380128878281622,4.0,97.73,58.61,41.505951429776886,0,1,0,0,0,0,0,1,0
