case_group,ym,code,name,cat,tau_oot,dr_score,Y,lag_Sstar,lag_inventory_ratio,fill_prev,fill,fill_drop_pp,price_index,gross_margin,inventory_ratio,sell_rate
高排序5例,202601,6901028119009,利群(西子阳光),一类烟,25.0,-0.1820920393523639,0.3842915870102885,40.352884820097934,2771.25,100.0,83.333333,16.666667000000004,1.1248185776487662,0.3088896952104499,1272.1999999999998,0.0
高排序5例,202511,6901028207508,利群(软红长嘴),一类烟,18.145643339143668,41.83252846252427,10.539706080274655,66.69539104402628,31.123076923076923,98.484848,90.322581,8.162267,1.1530398322851152,0.275243336328242,286.9107142857143,0.0
高排序5例,202602,6901028104302,龙烟(老巴夺传琦),一类烟,16.655048118478213,48.16440077493258,11.649944173502211,59.33221782780651,91.07962529274003,98.842593,95.522388,3.320204999999987,1.1555555555555554,0.2755111111111111,656.9374999999999,
高排序5例,202511,6901028188029,黄鹤楼(硬峡谷情细支),一类烟,15.77136684094478,-7.879953938009418,0.4818757192174914,51.30282248768601,835.9533678756476,98.469388,0.0,98.469388,1.1406844106463878,,,
高排序5例,202601,6901028071475,中南海(5mg),二类烟,13.468259835305393,-129.61287454449422,-13.238728245502084,52.44808812846787,82.22838137472284,99.120879,0.0,99.120879,1.1353711790393013,,,
低排序5例,202511,6901028080224,钻石(硬特醇),四类烟,-12.138152063421009,-596.3014418067862,-16.863780544004655,34.382356683845515,138.775069637883,99.5149,0.0,99.5149,1.1235955056179776,,,
低排序5例,202605,6901028009805,双喜(百年经典),一类烟,-11.15969607579236,-25.668470909467885,-0.7228889677144608,36.20752831445703,3307.444444444445,100.0,92.0,8.0,1.1428571428571428,0.2754782608695652,2209.1739130434785,0.0
低排序5例,202512,6901028211352,七匹狼(纯境),二类烟,-10.942500550855147,-64.09416812345613,0.4331556031434331,37.33365790327816,163.15824468085106,99.077734,0.0,99.077734,1.1180992313067786,,,
低排序5例,202601,6901028080224,钻石(硬特醇),四类烟,-10.48601259300292,-138.98443854369165,-0.3528597132494653,21.58558654460294,1123.4170040485828,96.862745,0.0,96.862745,1.1235955056179776,,,0.0
低排序5例,202512,6901028159753,泰山(心悦),二类烟,-10.23139982689834,-102.49038291646886,-1.937206232429979,42.94871794871795,304.59375,98.969072,87.5,11.469071999999997,1.1435105774728418,0.2420566854529118,693.8571428571429,
