ym,n,n_treat,top30_n,top30_dr,rest_dr,dr_lift,rho_tau_dr
202509,116,5,35,3.225160309554007,14.319987052414064,-11.094826742860057,0.03911927804699305
202510,107,11,33,6.572664214070745,2.4723246570260122,4.100339557044732,0.22571520238317458
202511,101,12,31,6.592322283714786,0.28488203497278264,6.307440248742004,0.08611657129873326
202512,82,8,25,-4.7225257836889005,-3.543187144216768,-1.1793386394721326,0.14071538574769876
202601,89,9,27,1.1765024310114218,4.281075463156479,-3.104573032145057,0.10783209986151097
202602,106,13,32,-9.841243336235319,-1.2956176653572704,-8.54562567087805,0.2335698757341107
202603,113,4,34,2.988485457833755,1.9946447132222729,0.9938407446114823,0.013157894736842108
202604,109,14,33,3.731678065608916,3.2402218221423675,0.4914562434665486,0.18065980910017607
202605,116,17,35,0.6113485134906869,-18.001525220688322,18.612873734179008,0.0459693230307923
202606,120,22,36,-2.029438053260895,-0.27646070331707223,-1.7529773499438228,0.0763177998472116
