seed,spearman,top20_overlap,cate_mean,cate_sd
101,1.0,1.0,2.2535406873142305,6.364944392230514
102,0.6651319626442553,0.6301369863013698,2.135468594414551,7.314178591340338
103,0.7135943006194432,0.6109589041095891,1.7278154529610814,6.516384318152221
104,0.676554945490239,0.5643835616438356,1.0039117908295403,6.120566942062479
105,0.668573935912695,0.6082191780821918,1.9047121109502423,8.536370678356523
106,0.5886095942689107,0.5150684931506849,0.47771801874063446,6.594936870959144
107,0.7335258775042721,0.6136986301369863,2.4068903163321256,6.3655315293810775
108,0.7462705672201985,0.6273972602739726,2.689043466563454,7.808178685605054
109,0.720162234145325,0.6383561643835617,1.8287027462502847,7.732135514813403
110,0.7580826936682727,0.6684931506849315,3.024213742571458,8.503936961029487
111,0.6307724639370861,0.5506849315068493,1.1848157287726864,7.072357346926399
112,0.6250205429912348,0.5616438356164384,1.332200037965281,6.723398976232632
