feature,importance
S_clean_pre,0.16237515560504473
price_index_pre,0.12589323056767462
gross_margin_pre,0.11892569687885868
unitval_pre,0.07644966007729347
amt_per_cust_pre,0.07463207756016453
ord_success_pre,0.0739384440081482
inventory_ratio_pre,0.06991396584924532
fill_pre,0.0696524343680091
util_pre,0.05295732078667742
demand_gap_pre,0.05161560566579023
new_cust_pre,0.04133207563082662
channel_coverage_pre,0.033450137147199493
band_中档,0.01804513054814877
cat_一类烟,0.009965889800608602
full_surf_pre,0.006747472646036168
band_高档,0.006627860857081179
band_中高档,0.003917934611390434
cat_三类烟,0.0028521248982815266
cat_二类烟,0.000707782493520851
band_低档,0.0
cat_五类烟,0.0
cat_四类烟,0.0
band_中低档,0.0
