sample,n,n_treated,retained_share,dr_ate,ci_low,ci_high,mean_oof_cate,prop_low,prop_high
full,1266,171,1.0,-0.606243216651206,-1.3333642536569263,0.08933430256207249,-0.348294081680752,,
common_support,1245,169,0.9834123222748815,-0.5898055032396609,-1.1841714405870007,0.006359216434097072,-0.28470939932436884,0.09877909587172193,0.95
