code,ym,T,propensity,in_support
6901028000833,202502,0.0,0.3701387757931352,True
6901028000833,202503,0.0,0.5422354017635879,True
6901028000833,202504,0.0,0.5683459447067678,True
6901028000833,202505,0.0,0.3200082382106873,True
6901028000833,202506,0.0,0.41442618781625357,True
6901028000833,202507,0.0,0.3862457765405662,True
6901028000833,202508,0.0,0.1763737950452537,True
6901028000833,202509,0.0,0.13322503748300765,True
6901028000833,202510,1.0,0.2971810188761027,True
6901028000833,202511,0.0,0.8674799497977814,True
6901028000833,202512,0.0,0.3440386059093522,True
6901028000833,202601,0.0,0.6546087699144694,True
6901028000833,202602,0.0,0.4566831203352471,True
6901028000833,202603,0.0,0.2483249904447843,True
6901028000833,202605,1.0,0.6052848863696927,True
6901028001625,202502,0.0,0.31077292041676574,True
6901028001625,202503,0.0,0.45641648451488637,True
6901028001625,202504,0.0,0.3845157276731725,True
6901028001625,202505,0.0,0.44887878647823776,True
6901028001625,202506,0.0,0.5580449217507994,True
6901028001625,202507,0.0,0.48949355908568887,True
6901028001625,202508,0.0,0.17243337609872214,True
6901028001625,202509,0.0,0.20429269158728042,True
6901028001625,202510,0.0,0.22977554219258828,True
6901028001625,202511,0.0,0.5151780743572234,True
6901028001625,202512,0.0,0.31817531862815973,True
6901028001625,202604,0.0,0.3850628098272581,True
6901028001625,202605,1.0,0.5617246936635639,True
6901028001625,202606,0.0,0.5780288070608343,True
6901028005036,202502,0.0,0.5404887989733691,True
6901028005036,202503,0.0,0.44143501204878727,True
6901028005036,202504,0.0,0.45137253568811375,True
6901028005036,202505,1.0,0.5148004353283545,True
6901028005036,202506,0.0,0.6018750885255982,True
6901028005036,202507,0.0,0.5570933059063454,True
6901028005036,202508,0.0,0.4510343240884619,True
6901028005036,202509,0.0,0.44419614543799774,True
6901028005036,202510,0.0,0.3744757279742119,True
6901028005036,202511,0.0,0.42721892417422785,True
6901028005036,202512,0.0,0.4746759945514183,True
6901028005036,202601,0.0,0.48256550966167,True
6901028005036,202602,0.0,0.5370578082627342,True
6901028005036,202603,0.0,0.40290572178862616,True
6901028005036,202604,0.0,0.5058131882264253,True
6901028005036,202605,0.0,0.5827110094782152,True
6901028005036,202606,0.0,0.5530981768735137,True
6901028009744,202502,0.0,0.4936863492957211,True
