code,name,ym,T,Y,tau_oof,dr_oof,L1_S,L1_price_index,L1_gross_margin,L1_inventory_ratio,L1_unit_growth
6901028159548,泰山(硬红八喜),202512,1.0,-0.1914596336180452,0.4339286382621519,3.72608566936689,44.0606444637349,1.1355695317959469,0.2420471162027817,38.53819368879217,3.469844357976653
6901028314985,红塔山(硬经典),202602,1.0,-0.1713120798719813,0.4094512199016759,2.333341091493593,43.94222497687378,1.1333333333333333,0.24217674675504,20.265120132560067,inf
6901028314985,红塔山(硬经典),202604,1.0,0.056433668101306,0.3230946452985502,1.352975481848769,43.7709128970018,1.1333333333333333,0.2421333333333333,77.6401384083045,-0.4224620303756994
6901028063371,白沙(硬新精品二代),202602,1.0,-0.274206230237759,0.2086903315570171,0.8556090479135179,43.45414177354228,1.134020618556701,0.2421649484536082,218.99207397622192,
6901028025645,娇子(时代阳光),202507,1.0,-0.4831724794189682,0.2068738762514814,0.2280244110390525,43.310339859346605,1.1267605633802815,0.2422448505867976,35.4769752787203,-0.4250278706800445
6901028102094,贵烟(红中支),202502,1.0,-0.1944313450690629,-1.312579082254242,2.765934589829385,64.107489855547,1.1406844106463878,0.3088712656165128,192.5142857142857,
6901028179324,黄鹤楼(硬珍品),202508,1.0,15.427024724770853,-1.329890310216967,0.1995807121109258,42.83927620606397,1.179245283018868,0.3077830188679245,33072.625,-0.9090909090909092
6901028125970,黄山(徽商新概念细支),202601,1.0,5.010577773911585,-1.41699312249695,-12.869402424180466,54.50794115581616,1.179245283018868,0.3088756633254717,4969.375,2.2
6901028045919,云烟(软珍品),202510,1.0,9.59181200543113,-1.5358032280131173,-3.754479190049728,33.69089750337544,1.1127237542331885,0.2755200774068698,6838.642857142857,-0.7666666666666666
6901028079990,钻石(荷花),202506,1.0,5.873774690412333,-1.6459300267962589,4.303397073554085,59.051883899537415,1.161103047895501,0.3089078374455733,2715.684210526316,-0.947945205479452
