code,ym,name,cat,T,Y,S,fill,L1_util,L1_full_surf,L1_price_index,L1_gross_margin,L1_unitval,L1_inventory_ratio,L1_channel_coverage,L1_demand_gap,L1_amt_per_cust,L1_new_cust,L1_unit_growth,L1_purch_surf,L1_rep_rate2,L1_S,cat_一类烟,cat_三类烟,cat_二类烟,cat_五类烟,cat_四类烟,price_band_cat_中低档,price_band_cat_中档,price_band_cat_中高档,price_band_cat_高档,month_of_year_1,month_of_year_2,month_of_year_3,month_of_year_4,month_of_year_5,month_of_year_6,month_of_year_7,month_of_year_8,month_of_year_9,month_of_year_10,month_of_year_11,month_of_year_12
6901028000833,202605,双喜(软经典),三类烟,1.0,0.1774766210994585,,0.0,8.29,87.13,1.134020618556701,0.2421648185320159,24250.0,83.95085066162571,1.0,-92.960924,0.0185022836538461,1.0,-0.3603385731559855,70.67,0.0,43.82673611012884,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6901028001625,202502,双喜(硬经典1906),二类烟,0.0,-0.28415334458821917,42.77316799419364,99.626866,77.54,100.0,1.1294180175391977,0.2420934420757613,37630.0,143.21433796634966,0.976303317535545,-97.986242,0.0243792464454976,37.0,,74.53,63.43,43.214488404163625,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6901028001625,202503,双喜(硬经典1906),二类烟,0.0,0.19862002946745605,42.930335059575405,98.918919,93.62,100.0,1.1294180175391977,0.2420938250519298,37630.0,303.189138576779,0.2777777777777778,-98.626866,0.0095009078014184,,-0.6093635698610095,,,42.77316799419364,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6901028001625,202504,双喜(硬经典1906),二类烟,0.0,-0.16879815133750498,42.9717880236611,99.868938,91.8,100.0,1.1294180175391977,0.242126989520724,37630.0,249.8287795992714,0.072189349112426,-97.918919,0.0097793467455621,9.0,0.0280898876404493,32.66,0.0,42.930335059575405,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6901028001625,202505,双喜(硬经典1906),二类烟,0.0,0.2921039224683426,42.7615369082379,98.742138,90.63,98.29,1.1294180175391977,0.2421266817464984,37630.0,234.7729658792651,0.1516587677725118,-98.868938,0.0135896018957345,7.0,0.3879781420765027,45.85,0.0,42.9717880236611,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6901028001625,202506,双喜(硬经典1906),二类烟,0.0,0.4158450768485409,43.26389194612944,99.534451,90.48,100.0,1.1294180175391977,0.2421270804734669,37630.0,311.0106157112526,0.025,-97.742138,0.0084398714285714,,-0.3818897637795275,28.21,0.0,42.7615369082379,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6901028001625,202507,双喜(硬经典1906),二类烟,0.0,-1.0107370345842739,43.17738198508644,98.595041,85.97,98.95,1.1294180175391977,0.2421267637950832,37630.0,128.9242282507016,0.2637231503579952,-98.534451,0.0192011789976133,18.0,1.26963906581741,56.21,15.29,43.26389194612944,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6901028001625,202508,双喜(硬经典1906),二类烟,0.0,-0.3026102624305054,42.25315491154517,97.373737,100.0,100.0,1.1294180175391977,0.2421267073251955,37630.0,160.26906957250628,0.0154211150652431,-97.595041,0.0213013475682087,11.0,0.1159962581852198,46.86,49.37,43.17738198508644,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6901028001625,202509,双喜(硬经典1906),二类烟,0.0,0.8103105975026068,42.874771722655936,98.066076,86.29,98.15,1.1294180175391977,0.2421266028804156,37630.0,495.195020746888,0.0736342042755344,-96.373737,0.0086164655581947,1.0,-0.5959765297569154,26.13,11.82,42.25315491154517,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6901028001625,202510,双喜(硬经典1906),二类烟,0.0,-0.6219173878039967,43.063465509047774,98.576512,78.72,100.0,1.1294180175391977,0.2421196767120763,37630.0,269.1717337715694,0.0709219858156028,-97.066076,0.021652817966903,26.0,1.5248962655601663,41.02,48.13,42.874771722655936,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6901028001625,202511,双喜(硬经典1906),二类烟,0.0,-4.521832363129782,42.25285433485194,98.686679,50.94,94.59,1.1294180175391977,0.2421100233990277,37630.0,199.74277978339347,0.500590318772137,-97.576512,0.0196902195985832,11.0,-0.0895645028759244,27.27,34.63,43.063465509047774,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6901028001625,202512,双喜(硬经典1906),二类烟,0.0,0.03778932712683769,38.54163314591799,97.391304,39.33,98.54,1.1294180175391977,0.2421222398599936,37630.0,494.8307984790874,0.4063604240282685,-97.686679,0.0093255029446407,6.0,-0.5252707581227437,24.15,34.15,42.25285433485194,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6901028001625,202604,双喜(硬经典1906),二类烟,0.0,-0.7097190439714893,41.17753563648628,97.2,53.5,96.94,1.1294180175391977,0.2421196084104698,37630.0,283.0373831775701,0.2181168057210965,-97.277842,0.0153569868891537,12.0,,21.93,42.93,42.83649036317899,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6901028001625,202605,双喜(硬经典1906),二类烟,1.0,-0.1683273744542504,42.1267713192075,93.811881,30.3,91.62,1.1294180175391977,0.2421222341424898,37630.0,884.522633744856,0.6334134615384616,-96.2,0.0043961971153846,13.0,-0.7161214953271028,12.14,29.7,41.17753563648628,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6901028001625,202606,双喜(硬经典1906),二类烟,0.0,-2.955031714710856,41.00920826203203,94.139194,18.55,92.44,1.1294180175391977,0.2421184397168093,37630.0,540.1108179419525,1.0,-92.811881,0.0068731421686746,6.0,0.5596707818930042,12.77,33.02,42.1267713192075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
